Indicator ID,Dimension List,Timeframe,Numeric Value,Missing Value Flag,Confidence Interval Low,Confidence Interval High,Standard Error,LocaleID,Locale,County,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
416363801,Total,2013,0.7,,,,,1,Alabama,#VALUE!,State,1,1,,,Total,,,,,,,,,,,,,,,,,,,,,,359,4833722
416363852,Total,2013,0.4,,,,,101,Alabama - Autauga,Autauga,County,1,1001,,,Total,,,,,,,,,,,,,,,,,,,,,,2,55246
416363853,Total,2013,1.4,,,,,102,Alabama - Baldwin,Baldwin,County,1,1003,,,Total,,,,,,,,,,,,,,,,,,,,,,27,195540
416363854,Total,2013,0.7,,,,,103,Alabama - Barbour,Barbour,County,1,1005,,,Total,,,,,,,,,,,,,,,,,,,,,,2,27076
416363855,Total,2013,0,,,,,104,Alabama - Bibb,Bibb,County,1,1007,,,Total,,,,,,,,,,,,,,,,,,,,,,0,22512
416363856,Total,2013,0,,,,,105,Alabama - Blount,Blount,County,1,1009,,,Total,,,,,,,,,,,,,,,,,,,,,,0,57872
416363857,Total,2013,0.9,,,,,106,Alabama - Bullock,Bullock,County,1,1011,,,Total,,,,,,,,,,,,,,,,,,,,,,1,10639
416363858,Total,2013,1.5,,,,,107,Alabama - Butler,Butler,County,1,1013,,,Total,,,,,,,,,,,,,,,,,,,,,,3,20265
416363859,Total,2013,0.6,,,,,108,Alabama - Calhoun,Calhoun,County,1,1015,,,Total,,,,,,,,,,,,,,,,,,,,,,7,116736
416363860,Total,2013,0.6,,,,,109,Alabama - Chambers,Chambers,County,1,1017,,,Total,,,,,,,,,,,,,,,,,,,,,,2,34162
